year,month,species,lat,lon,catch_tonnes,effort_days,sst
2020,1,example,-10.5,-78.5,120,10,18.2
2020,2,example,-10.7,-78.3,180,13,18.5
2021,1,example,-11.0,-78.1,210,15,19.0
2021,2,example,-10.8,-78.0,160,12,18.9
2022,1,example,-10.4,-77.9,300,18,19.5
2022,2,example,-10.6,-78.2,240,16,19.1
2023,1,example,-11.2,-78.4,190,14,18.7
2023,2,example,-11.0,-78.6,260,17,18.8
2024,1,example,-10.9,-78.5,330,21,19.4
2024,2,example,-10.7,-78.7,280,19,19.2
2025,1,example,-10.6,-78.1,350,22,19.7
2025,2,example,-10.8,-78.3,300,20,19.3
